"","tiplab","avg_jackknife"
"Ammodramus_humeralis","Ammodramus_humeralis",0.0435580550809753
"Amphispiza_bilineata","Amphispiza_bilineata",0.043319344816602
"Arremon_flavirostris","Arremon_flavirostris",0.0221925654683052
"Arremon_taciturnus","Arremon_taciturnus",0.021669406201522
"Atlapetes_albinucha","Atlapetes_albinucha",0.0289828422324732
"Atlapetes_latinuchus","Atlapetes_latinuchus",0.0501474556234007
"Atlapetes_melanocephalus","Atlapetes_melanocephalus",0.0429803333323153
"Chlorospingus_ophthalmicus","Chlorospingus_ophthalmicus",0.0274431533561355
"Chondestes_grammacus","Chondestes_grammacus",0.042969279519419
"Junco_hyemalis","Junco_hyemalis",0.0204208530775076
"Junco_phaeonotus","Junco_phaeonotus",0.0170251803089975
"Melospiza_lincolnii","Melospiza_lincolnii",0.0444919236980493
"Melospiza_melodia","Melospiza_melodia",0.0423957904439932
"Passerculus_sandwichensis","Passerculus_sandwichensis",0.0195847803416261
"Passerella_iliaca","Passerella_iliaca",0.0452683080042604
"Pipilo_maculatus","Pipilo_maculatus",0.0243225973231834
"Spizella_arborea","Spizella_arborea",0.0191472781199181
"Spizella_pallida","Spizella_pallida",0.016827576553453
"Spizella_passerina","Spizella_passerina",0.0526415413826335
"Zonotrichia_albicollis","Zonotrichia_albicollis",0.0169187594321226
"Zonotrichia_capensis","Zonotrichia_capensis",0.0211793392189574
"Zonotrichia_leucophrys","Zonotrichia_leucophrys",0.019884308695356
